time,seconds_elapsed,z,y,x
1759649693495102200,8.965136962890625,-0.1852234303951263,-0.4927287995815277,0.0593055747449398
1759649693505059300,8.975093994140625,-0.2148288637399673,-0.4871622323989868,0.0416075438261032
1759649693515016200,8.98505078125,-0.2367027401924133,-0.4765388667583465,0.0369427502155303
1759649693524973000,8.995007812499999,-0.2494576722383499,-0.4546535313129425,0.0455754175782203
1759649693534930200,9.004964843749999,-0.2544820010662079,-0.4317415654659271,0.0731447264552116
1759649693544887300,9.014921874999999,-0.2507000565528869,-0.4092651605606079,0.1227982342243194
1759649693554845400,9.024880126953125,-0.2370849102735519,-0.397976279258728,0.1816506385803222
1759649693564802000,9.034836669921873,-0.2227279245853424,-0.3928907215595245,0.2394854873418808
1759649693574759200,9.044793945312499,-0.2072075605392456,-0.3847062885761261,0.2743582427501678
1759649693584716300,9.054750976562499,-0.1969557255506515,-0.383860319852829,0.2770112454891205
1759649693594673200,9.064707763671874,-0.1926251649856567,-0.3804283142089844,0.2591212093830108
1759649693604630300,9.0746650390625,-0.1981710642576217,-0.377782791852951,0.2306823283433914
1759649693614587400,9.0846220703125,-0.2134435027837753,-0.3731882870197296,0.2026650756597519
1759649693624544300,9.094578857421874,-0.2314729690551757,-0.3735617399215698,0.1810481995344162
1759649693634501000,9.104535888671874,-0.2431053817272186,-0.3798563778400421,0.1686844676733017
1759649693644459300,9.114493896484374,-0.2492547631263733,-0.4015429019927978,0.169318288564682
1759649693654416400,9.124451171875,-0.253088891506195,-0.4335778057575226,0.1843166798353195
1759649693664373200,9.134407958984374,-0.2474592477083206,-0.4577949047088623,0.207725316286087
1759649693674330000,9.14436474609375,-0.2298198044300079,-0.477694034576416,0.2300977408885955
1759649693684287200,9.154322021484374,-0.2104689925909042,-0.4960783421993255,0.2562362551689148
1759649693694244000,9.16427880859375,-0.1816202998161316,-0.5208383202552795,0.2797687649726867
1759649693704201200,9.17423583984375,-0.1484800726175308,-0.553078293800354,0.2975609898567199
1759649693714158300,9.184193115234375,-0.1195879727602005,-0.5801882147789001,0.3003453016281128
1759649693724116200,9.19415087890625,-0.1081044226884841,-0.5845414400100708,0.2941877543926239
1759649693734073000,9.204107666015625,-0.1046140864491462,-0.5905963778495789,0.28902468085289
1759649693744030200,9.21406494140625,-0.1154602095484733,-0.5806518793106079,0.2905541658401489
1759649693753987300,9.22402197265625,-0.1358200758695602,-0.5763886570930481,0.29502934217453
1759649693763944200,9.233978759765625,-0.1547976285219192,-0.5687157511711121,0.2989450097084045
1759649693773901300,9.24393603515625,-0.1708706021308899,-0.5693149566650391,0.3010814189910888
1759649693783858200,9.253892822265625,-0.1727063208818435,-0.5744448304176331,0.3037690222263336
1759649693793815300,9.263849853515625,-0.1625562161207199,-0.5722192525863647,0.3065480291843414
1759649693803772200,9.273806884765625,-0.1534990668296814,-0.5627279877662659,0.3102791011333465
1759649693813730300,9.283764892578125,-0.1530090421438217,-0.5177597403526306,0.3089358210563659
1759649693823687400,9.293722167968749,-0.1504217684268951,-0.4570976197719574,0.2946899831295013
1759649693833644000,9.303678710937499,-0.1451859921216964,-0.4071281850337982,0.2647469937801361
1759649693843601200,9.3136357421875,-0.1366445869207382,-0.3715413212776184,0.2300825715065002
1759649693853558300,9.323593017578126,-0.1280031651258468,-0.3370267748832702,0.2076406478881836
1759649693863515400,9.333550048828126,-0.1182880848646164,-0.2978758215904236,0.1991899311542511
1759649693873472300,9.3435068359375,-0.1095699593424797,-0.263071745634079,0.2001723796129226
1759649693883429600,9.35346435546875,-0.0985463336110115,-0.2324427515268325,0.2067298740148544
1759649693893386500,9.363421142578126,-0.0805345773696899,-0.2082077264785766,0.2028062343597412
1759649693903344600,9.37337939453125,-0.057596106082201,-0.1965075582265854,0.1769394427537918
1759649693913301500,9.383336181640626,-0.0388043113052845,-0.1946489363908767,0.134781077504158
1759649693923258600,9.393293212890626,-0.0295950938016176,-0.1752034574747085,0.0890164822340011
1759649693933215700,9.40325048828125,-0.036642886698246,-0.1522613912820816,0.0500512421131134
1759649693943172400,9.41320703125,-0.0451185293495655,-0.1299676597118377,0.0212012305855751
1759649693953129500,9.4231640625,-0.0534923076629638,-0.1212700381875038,0.0030267545953392
1759649693963086600,9.433121337890624,-0.0563092604279518,-0.1169072240591049,-0.0086019616574049
1759649693973043500,9.443078125,-0.0565289705991745,-0.1066692322492599,-0.0184862837195396
1759649693983000600,9.45303515625,-0.0555638410151004,-0.0931241288781166,-0.0309615954756736
1759649693992958500,9.4629931640625,-0.0587226152420043,-0.0514448583126068,-0.0487536415457725
1759649694002915600,9.4729501953125,-0.067258320748806,0.0094777327030897,-0.0660777315497398
1759649694012872400,9.4829072265625,-0.0772632881999015,0.0804198160767555,-0.0906184911727905
1759649694022829600,9.4928642578125,-0.0858836472034454,0.1187873780727386,-0.1023476794362068
1759649694032786700,9.5028212890625,-0.0816510841250419,0.1293795704841613,-0.098308190703392
1759649694042743600,9.5127783203125,-0.0642273798584938,0.1287729889154434,-0.0651978030800819
1759649694052700400,9.522735107421873,-0.0288896299898624,0.129079520702362,-0.0105928750708699
1759649694062657500,9.532692138671873,0.0094424663111567,0.1159094497561454,0.0503425486385822
1759649694072614400,9.542649169921873,0.0518546365201473,0.0933548733592033,0.0989031568169593
1759649694082571500,9.552606201171873,0.0850751847028732,0.0632363632321357,0.1272314339876175
1759649694092529400,9.562563964843749,0.1067040488123893,0.0209166016429662,0.1333545744419098
1759649694102486500,9.572521240234373,0.1198804154992103,-0.0263213738799095,0.105771780014038
1759649694112443400,9.58247802734375,0.125572383403778,-0.0640977844595909,0.0445651486515998
1759649694122400500,9.59243505859375,0.1203203648328781,-0.0681501477956771,-0.0427814871072769
1759649694132357600,9.602392333984374,0.1047219634056091,-0.0494733937084674,-0.1288551092147827
1759649694142314500,9.61234912109375,0.0789859071373939,-0.0293024908751249,-0.1736440360546112
1759649694152271600,9.622306396484374,0.059708084911108,-0.050967302173376,-0.1559009850025177
1759649694162228500,9.63226318359375,0.0669892430305481,-0.1171170994639396,-0.0821537002921104
1759649694172185300,9.642219970703124,0.0961732268333435,-0.1957320272922516,0.0065258299000561
1759649694182143500,9.65217822265625,0.1185948252677917,-0.2304117083549499,0.0736999958753585
1759649694192100600,9.66213525390625,0.1207469254732132,-0.2104894071817398,0.1043300703167915
1759649694202057700,9.67209228515625,0.0924893021583557,-0.1449277251958847,0.1148953884840011
1759649694212014300,9.682049072265624,0.0456485673785209,-0.0679322853684425,0.1185812056064605
1759649694221971500,9.692006103515624,-0.0085011171177029,-0.0052698794752359,0.1213043481111526
1759649694231928600,9.701963134765625,-0.0378246493637561,0.039214763790369,0.1246380880475044
1759649694241885400,9.711920166015625,-0.0382642820477485,0.0776852071285247,0.1189582645893096
1759649694251842600,9.721877197265625,-0.016040202230215,0.1359346807003021,0.0935772731900215
1759649694261799700,9.731834228515625,0.0166670717298984,0.2156873047351837,0.0462834239006042
1759649694271756300,9.741791015625,0.0416935943067073,0.3199407458305359,-0.0142901744693517
1759649694281713400,9.751748046874999,0.0655103102326393,0.3953513205051422,-0.0736644491553306
1759649694291671600,9.761706298828125,0.0857945457100868,0.435933381319046,-0.1155232191085815
1759649694301628700,9.771663330078125,0.0971578359603881,0.4453126490116119,-0.1390934735536575
