time,seconds_elapsed,z,y,x
1758278164363902000,164.44390185546874,2.559856414794922,2.2372148036956787,0.951608180999756
1758278164373987000,164.45398706054686,2.580816984176636,2.060233354568481,0.873940646648407
1758278164384072000,164.46407202148438,2.5668015480041504,1.831949472427368,0.805122435092926
1758278164394155800,164.47415576171875,2.5280230045318604,1.5859663486480713,0.7484631538391113
1758278164404241000,164.48424096679688,2.463932991027832,1.3465460538864136,0.6956814527511597
1758278164414326000,164.49432592773437,2.384650230407715,1.0743776559829712,0.6392828822135925
1758278164424409900,164.50440991210937,2.291896343231201,0.7957450151443481,0.5967655181884766
1758278164434494700,164.51449462890625,2.177391767501831,0.6312840580940247,0.59535813331604
1758278164444579800,164.52457983398438,2.025296449661255,0.715165913105011,0.5518319606781006
1758278164454663700,164.53466357421874,1.8216181993484497,1.0219402313232422,0.4184374511241913
1758278164464748800,164.54474877929687,1.5767945051193235,1.4029724597930908,0.2654010355472564
1758278164474834000,164.554833984375,1.3458309173583984,1.7861136198043823,0.1347221434116363
1758278164484917800,164.5649177246094,1.134730339050293,2.074807643890381,0.05625981092453
1758278164495002600,164.57500268554688,0.9108512997627258,2.1801161766052246,0.0051958463154733
1758278164505087000,164.5850869140625,0.6676490306854248,2.0518739223480225,-0.0381172746419906
1758278164515171800,164.595171875,0.4269465506076813,1.763432502746582,-0.0407183207571506
1758278164525257000,164.60525708007813,0.2115295827388763,1.3722199201583862,-0.0194998495280742
1758278164535340800,164.6153408203125,0.0245932433754205,0.8818057179450989,-0.0034335602540522
1758278164545426000,164.62542602539062,-0.1872811913490295,0.2448074519634246,-0.0152041986584663
1758278164555510800,164.6355107421875,-0.4938279688358307,-0.548255980014801,-0.0798485726118087
1758278164565595000,164.64559497070312,-0.900816798210144,-1.4078612327575684,-0.2060626894235611
1758278164575679700,164.6556796875,-1.3614492416381836,-2.1993916034698486,-0.3842703998088836
1758278164585764900,164.66576489257812,-1.8056716918945312,-2.819244861602783,-0.5792226195335388
1758278164595848700,164.6758486328125,-2.1698861122131348,-3.221919298171997,-0.7493619918823242
1758278164605933800,164.68593383789062,-2.4156951904296875,-3.369281768798828,-0.8643625974655151
1758278164616018000,164.69601782226562,-2.5388524532318115,-3.2942135334014893,-0.911629855632782
1758278164626103000,164.70610302734374,-2.5482938289642334,-3.0385899543762207,-0.8832904100418091
1758278164636188000,164.71618798828126,-2.47913146018982,-2.658737897872925,-0.7921477556228638
1758278164646272000,164.72627197265626,-2.352257490158081,-2.2210073471069336,-0.6697472929954529
1758278164656356900,164.73635693359375,-2.207636594772339,-1.771864891052246,-0.5412290692329407
1758278164666442000,164.74644189453124,-2.067751884460449,-1.3365843296051023,-0.4639238715171814
1758278164676525800,164.75652587890625,-1.9809377193450928,-0.9351341724395752,-0.4273267388343811
1758278164686611000,164.76661083984374,-1.9811680316925049,-0.5917094349861145,-0.4255605340003967
